commodityCode,countryCode,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,currentMYNetSales,currentMYTotalCommitment,nextMYOutstandingSales,nextMYNetSales,unitId,weekEndingDate,Year
1301,4792,0,0,88,88,88,88,0,0,2,2024-08-15T00:00:00,2024
1301,4840,0,0,0,0,0,0,0,0,2,2024-08-15T00:00:00,2024
1301,4890,87,87,258,0,0,345,0,0,2,2024-08-15T00:00:00,2024
1301,5200,0,0,430,0,0,430,0,0,2,2024-08-15T00:00:00,2024
1301,5250,0,0,0,0,0,0,0,0,2,2024-08-15T00:00:00,2024
1301,5330,685,7665,21945,3298,3297,29610,0,0,2,2024-08-15T00:00:00,2024
1301,5350,1300,2518,2867,875,875,5385,0,0,2,2024-08-15T00:00:00,2024
1301,5380,0,0,2420,1455,1455,2420,0,0,2,2024-08-15T00:00:00,2024
1301,5490,88,88,1296,172,172,1384,0,0,2,2024-08-15T00:00:00,2024
1301,5520,1131,1131,10046,346,346,11177,0,0,2,2024-08-15T00:00:00,2024
1301,5570,86,86,0,0,0,86,0,0,2,2024-08-15T00:00:00,2024
1301,5600,352,352,261,0,0,613,0,0,2,2024-08-15T00:00:00,2024
1301,5700,261,701,6031,0,0,6732,0,0,2,2024-08-15T00:00:00,2024
1301,5800,0,0,172,0,0,172,0,0,2,2024-08-15T00:00:00,2024
1301,5820,0,0,590,176,176,590,0,0,2,2024-08-15T00:00:00,2024
1301,5830,435,435,0,0,0,435,0,0,2,2024-08-15T00:00:00,2024
1301,5880,174,350,520,85,85,870,0,0,2,2024-08-15T00:00:00,2024
1301,7290,0,0,617,0,0,617,0,0,2,2024-08-15T00:00:00,2024
1301,7740,0,0,0,0,0,0,0,0,2,2024-08-15T00:00:00,2024
1301,2,0,0,0,0,0,0,0,0,2,2024-08-15T00:00:00,2024
1301,2010,0,0,87,87,87,87,0,0,2,2024-08-22T00:00:00,2024
1301,2050,0,88,0,0,0,88,0,0,2,2024-08-22T00:00:00,2024
1301,2110,0,0,0,0,0,0,0,0,2,2024-08-22T00:00:00,2024
1301,2150,0,0,0,0,0,0,0,0,2,2024-08-22T00:00:00,2024
1301,3010,0,0,565,0,0,565,0,0,2,2024-08-22T00:00:00,2024
1301,3330,1141,2716,18659,6123,5243,21375,0,0,2,2024-08-22T00:00:00,2024
1301,3510,0,0,880,0,880,880,0,0,2,2024-08-22T00:00:00,2024
1301,4120,0,0,0,0,0,0,0,0,2,2024-08-22T00:00:00,2024
1301,4280,0,264,440,264,264,704,0,0,2,2024-08-22T00:00:00,2024
1301,4330,0,0,0,0,0,0,0,0,2,2024-08-22T00:00:00,2024
1301,4410,0,0,0,0,0,0,0,0,2,2024-08-22T00:00:00,2024
