commodityCode,countryCode,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,currentMYNetSales,currentMYTotalCommitment,nextMYOutstandingSales,nextMYNetSales,unitId,weekEndingDate,Year
1404,5590,0,0,0,0,0,0,0,0,2,2025-08-14T00:00:00,2025
1404,5600,3515,5713,175353,6016,6275,181066,0,0,2,2025-08-14T00:00:00,2025
1404,5650,0,0,0,0,0,0,0,0,2,2025-08-14T00:00:00,2025
1404,5660,0,0,0,0,0,0,0,0,2,2025-08-14T00:00:00,2025
1404,5700,0,0,7833,2613,914,7833,0,0,2,2025-08-14T00:00:00,2025
1404,5800,3142,7782,42734,0,-352,50516,0,0,2,2025-08-14T00:00:00,2025
1404,5820,0,0,0,0,0,0,0,0,2,2025-08-14T00:00:00,2025
1404,5830,0,0,8675,2677,2677,8675,0,0,2,2025-08-14T00:00:00,2025
1404,5880,973,2575,38959,88,87,41534,9064,0,2,2025-08-14T00:00:00,2025
1404,7140,0,0,0,0,0,0,0,0,2,2025-08-14T00:00:00,2025
1404,7210,0,0,0,0,0,0,0,0,2,2025-08-14T00:00:00,2025
1404,7290,0,870,9678,0,0,10548,0,0,2,2025-08-14T00:00:00,2025
1404,7740,0,0,0,0,0,0,0,0,2,2025-08-14T00:00:00,2025
1404,7770,0,0,1144,0,0,1144,0,0,2,2025-08-14T00:00:00,2025
1404,2,0,0,0,0,0,0,0,0,2,2025-08-14T00:00:00,2025
1404,2010,7558,26540,383553,7527,7500,410093,65360,0,2,2025-08-21T00:00:00,2025
1404,2050,3550,9612,146774,0,0,156386,40040,0,2,2025-08-21T00:00:00,2025
1404,2110,3166,7822,177369,0,-73,185191,49632,0,2,2025-08-21T00:00:00,2025
1404,2150,2633,19751,220732,0,-20,240483,31046,0,2,2025-08-21T00:00:00,2025
1404,2190,440,4166,54750,7304,7304,58916,0,0,2,2025-08-21T00:00:00,2025
1404,2230,2519,6282,24038,0,-36,30320,0,0,2,2025-08-21T00:00:00,2025
1404,2410,0,0,0,0,0,0,0,0,2,2025-08-21T00:00:00,2025
1404,3010,0,1320,0,0,-17,1320,0,0,2,2025-08-21T00:00:00,2025
1404,3070,0,259,1764,0,-6,2023,0,0,2,2025-08-21T00:00:00,2025
1404,3310,0,1061,8044,1061,1061,9105,0,0,2,2025-08-21T00:00:00,2025
1404,3330,1957,10711,44361,1500,-1675,55072,0,0,2,2025-08-21T00:00:00,2025
1404,3510,0,0,0,0,0,0,0,0,2,2025-08-21T00:00:00,2025
1404,4230,0,264,0,0,0,264,0,0,2,2025-08-21T00:00:00,2025
1404,4280,0,0,0,0,0,0,0,0,2,2025-08-21T00:00:00,2025
1404,4410,0,0,0,0,0,0,0,0,2,2025-08-21T00:00:00,2025
1404,4710,0,0,0,0,0,0,0,0,2,2025-08-21T00:00:00,2025
1404,4750,0,720,3472,0,0,4192,0,0,2,2025-08-21T00:00:00,2025
1404,4890,6505,31498,230874,7231,7188,262372,0,0,2,2025-08-21T00:00:00,2025
1404,5330,10947,22908,34516,4696,4696,57424,0,0,2,2025-08-21T00:00:00,2025
1404,5350,2906,41272,414487,13353,13325,455759,0,0,2,2025-08-21T00:00:00,2025
1404,5380,11494,39003,211638,37817,37798,250641,0,0,2,2025-08-21T00:00:00,2025
1404,5490,5886,16245,62459,7217,7202,78704,0,0,2,2025-08-21T00:00:00,2025
1404,5520,41039,106963,606534,88222,88386,713497,0,0,2,2025-08-21T00:00:00,2025
1404,5570,1920,5068,127225,0,-34,132293,22000,0,2,2025-08-21T00:00:00,2025
1404,5590,0,0,0,0,0,0,0,0,2,2025-08-21T00:00:00,2025
1404,5600,3840,9553,173750,2249,2237,183303,0,0,2,2025-08-21T00:00:00,2025
1404,5650,0,0,0,0,0,0,0,0,2,2025-08-21T00:00:00,2025
1404,5660,0,0,0,0,0,0,0,0,2,2025-08-21T00:00:00,2025
1404,5700,0,0,12234,4401,4401,12234,0,0,2,2025-08-21T00:00:00,2025
1404,5800,3553,11335,39181,0,0,50516,0,0,2,2025-08-21T00:00:00,2025
1404,5820,0,0,0,0,0,0,0,0,2,2025-08-21T00:00:00,2025
1404,5830,1528,1528,7147,0,0,8675,0,0,2,2025-08-21T00:00:00,2025
1404,5880,1215,3790,37840,270,96,41630,9064,0,2,2025-08-21T00:00:00,2025
1404,7140,0,0,0,0,0,0,0,0,2,2025-08-21T00:00:00,2025
1404,7290,0,870,9678,0,0,10548,0,0,2,2025-08-21T00:00:00,2025
1404,7740,0,0,0,0,0,0,0,0,2,2025-08-21T00:00:00,2025
1404,7770,0,0,1144,0,0,1144,0,0,2,2025-08-21T00:00:00,2025
1404,2,0,0,0,0,0,0,0,0,2,2025-08-21T00:00:00,2025
1404,2010,10984,37524,379497,6928,6928,417021,65360,0,2,2025-08-28T00:00:00,2025
1404,2050,1498,11110,146244,968,968,157354,40040,0,2,2025-08-28T00:00:00,2025
1404,2110,2283,10105,175614,528,528,185719,49632,0,2,2025-08-28T00:00:00,2025
1404,2150,6555,26306,214177,0,0,240483,31046,0,2,2025-08-28T00:00:00,2025
1404,2190,704,4870,49776,0,-4270,54646,0,0,2,2025-08-28T00:00:00,2025
1404,2230,0,6282,24038,0,0,30320,0,0,2,2025-08-28T00:00:00,2025
1404,2410,0,0,0,0,0,0,0,0,2,2025-08-28T00:00:00,2025
1404,3010,0,1320,0,0,0,1320,0,0,2,2025-08-28T00:00:00,2025
1404,3070,0,259,1764,0,0,2023,0,0,2,2025-08-28T00:00:00,2025
1404,3310,444,1505,7776,176,176,9281,0,0,2,2025-08-28T00:00:00,2025
1404,3330,3775,14486,42618,2032,2032,57104,0,0,2,2025-08-28T00:00:00,2025
1404,4230,0,264,0,0,0,264,0,0,2,2025-08-28T00:00:00,2025
1404,4280,0,0,0,0,0,0,0,0,2,2025-08-28T00:00:00,2025
1404,4410,0,0,0,0,0,0,0,0,2,2025-08-28T00:00:00,2025
1404,4710,0,0,0,0,0,0,0,0,2,2025-08-28T00:00:00,2025
1404,4750,0,720,3472,0,0,4192,0,0,2,2025-08-28T00:00:00,2025
1404,4890,6230,37728,225567,1158,923,263295,0,0,2,2025-08-28T00:00:00,2025
